img,label,img_features
img/16395.png,1,"tensor([[[  0,   0,   0,  ...,   0,   0,   0],
         [  0,  76,  81,  ..., 129, 129,  81],
         [  0, 140, 147,  ..., 234, 235, 147],
         ...,
         [  0, 136, 138,  ..., 171, 179, 117],
         [  0,  75,  78,  ...,  94,  98,  64],
         [  0,   0,   0,  ...,   0,   0,   0]],

        [[  0,   0,   0,  ...,   0,   0,   0],
         [  0,  57,  58,  ..., 124, 124,  78],
         [  0, 103, 106,  ..., 225, 225, 142],
         ...,
         [  0,  69,  69,  ..., 159, 169, 111],
         [  0,  39,  40,  ...,  88,  92,  61],
         [  0,   0,   0,  ...,   0,   0,   0]],

        [[  0,   0,   0,  ...,   0,   0,   0],
         [  0,  33,  34,  ..., 116, 117,  73],
         [  0,  60,  63,  ..., 210, 211, 132],
         ...,
         [  0,  78,  81,  ..., 144, 157, 104],
         [  0,  44,  46,  ...,  79,  86,  57],
         [  0,   0,   0,  ...,   0,   0,   0]]], dtype=torch.uint8)"
img/37405.png,1,"tensor([[[  0,  42,  47,  ...,  34,  62,   0],
         [  0, 142, 161,  ..., 115, 210,   0],
         [  0, 143, 164,  ..., 120, 213,   0],
         ...,
         [  0,  15,   3,  ..., 195, 171,   0],
         [  0,  12,   5,  ..., 193, 169,   0],
         [  0,   7,   5,  ..., 110,  95,   0]],

        [[  0,  38,  44,  ...,  31,  62,   0],
         [  0, 130, 149,  ..., 106, 212,   0],
         [  0, 129, 149,  ..., 111, 215,   0],
         ...,
         [  0,  14,   4,  ..., 197, 174,   0],
         [  0,  12,   6,  ..., 194, 170,   0],
         [  0,   8,   5,  ..., 111,  96,   0]],

        [[  0,  30,  35,  ...,  36,  64,   0],
         [  0, 103, 119,  ..., 124, 216,   0],
         [  0, 105, 122,  ..., 129, 219,   0],
         ...,
         [  0,  24,   7,  ..., 244, 217,   0],
         [  0,  20,   8,  ..., 241, 214,   0],
         [  0,  11,   6,  ..., 138, 122,   0]]], dtype=torch.uint8)"
img/94180.png,1,"tensor([[[11, 20, 20,  ..., 22, 22, 19],
         [30, 55, 55,  ..., 61, 60, 54],
         [30, 55, 55,  ..., 60, 60, 54],
         ...,
         [27, 48, 48,  ..., 41, 41, 36],
         [27, 48, 48,  ..., 41, 40, 35],
         [10, 18, 18,  ..., 15, 15, 13]],

        [[ 0,  0,  0,  ...,  0,  0,  0],
         [ 0,  0,  0,  ...,  0,  0,  0],
         [ 0,  0,  0,  ...,  0,  0,  0],
         ...,
         [ 0,  0,  0,  ...,  0,  0,  0],
         [ 0,  0,  0,  ...,  0,  0,  0],
         [ 0,  0,  0,  ...,  0,  0,  0]],

        [[ 0,  0,  0,  ...,  0,  0,  0],
         [ 0,  1,  1,  ...,  0,  0,  0],
         [ 0,  1,  1,  ...,  0,  0,  0],
         ...,
         [ 0,  0,  0,  ...,  1,  0,  0],
         [ 0,  0,  0,  ...,  0,  0,  0],
         [ 0,  0,  0,  ...,  0,  0,  0]]], dtype=torch.uint8)"
img/54321.png,1,"tensor([[[  0,  29,  33,  ...,  21,  19,   0],
         [  0,  97, 111,  ...,  71,  64,   0],
         [  0,  99, 112,  ...,  73,  65,   0],
         ...,
         [  0, 103, 117,  ...,  80,  64,   0],
         [  0, 102, 115,  ...,  79,  62,   0],
         [  0, 102, 115,  ...,  79,  64,   0]],

        [[  0,  29,  33,  ...,  21,  19,   0],
         [  0,  97, 111,  ...,  71,  63,   0],
         [  0,  99, 112,  ...,  73,  64,   0],
         ...,
         [  0, 106, 121,  ...,  62,  50,   0],
         [  0, 106, 119,  ...,  62,  49,   0],
         [  0, 105, 118,  ...,  62,  51,   0]],

        [[  0,  26,  30,  ...,  19,  17,   0],
         [  0,  88, 101,  ...,  64,  57,   0],
         [  0,  90, 102,  ...,  65,  59,   0],
         ...,
         [  0, 105, 120,  ...,  54,  44,   0],
         [  0, 105, 118,  ...,  54,  44,   0],
         [  0, 104, 117,  ...,  54,  44,   0]]], dtype=torch.uint8)"
img/97015.png,1,"tensor([[[ 78, 133, 136,  ..., 110, 105,  62],
         [117, 199, 203,  ..., 164, 156,  92],
         [119, 202, 204,  ..., 163, 155,  91],
         ...,
         [ 78, 132, 132,  ...,  56,  55,  32],
         [ 78, 131, 131,  ...,  57,  56,  33],
         [ 69, 116, 116,  ...,  52,  50,  30]],

        [[ 76, 129, 132,  ...,  91,  85,  50],
         [114, 194, 198,  ..., 135, 127,  74],
         [116, 196, 198,  ..., 133, 125,  74],
         ...,
         [ 90, 153, 153,  ...,  59,  58,  34],
         [ 90, 152, 152,  ...,  60,  59,  35],
         [ 80, 135, 135,  ...,  54,  53,  31]],

        [[ 70, 119, 119,  ...,  64,  59,  34],
         [105, 178, 178,  ...,  95,  87,  50],
         [107, 180, 179,  ...,  94,  86,  50],
         ...,
         [ 88, 149, 149,  ...,  38,  37,  22],
         [ 87, 148, 148,  ...,  39,  38,  22],
         [ 77, 130, 130,  ...,  36,  34,  20]]], dtype=torch.uint8)"
img/73506.png,1,"tensor([[[  0,  39,  45,  ...,  46,  41,   0],
         [  0, 145, 163,  ..., 169, 151,   0],
         [  0, 147, 162,  ..., 169, 154,   0],
         ...,
         [  0,  92, 104,  ..., 105,  93,   0],
         [  0,  96, 106,  ..., 105,  95,   0],
         [  0,  37,  42,  ...,  40,  37,   0]],

        [[  0,  35,  38,  ...,  40,  36,   0],
         [  0, 128, 141,  ..., 148, 133,   0],
         [  0, 130, 143,  ..., 154, 140,   0],
         ...,
         [  0,  91, 102,  ..., 106,  95,   0],
         [  0,  94, 103,  ..., 106,  96,   0],
         [  0,  37,  41,  ...,  41,  37,   0]],

        [[  0,  31,  33,  ...,  35,  30,   0],
         [  0, 115, 124,  ..., 131, 116,   0],
         [  0, 118, 129,  ..., 138, 126,   0],
         ...,
         [  0,  92,  98,  ..., 110,  99,   0],
         [  0,  95,  99,  ..., 111, 101,   0],
         [  0,  37,  39,  ...,  43,  39,   0]]], dtype=torch.uint8)"
img/05429.png,1,"tensor([[[255, 255, 255,  ..., 255, 255, 255],
         [255, 255, 255,  ..., 255, 255, 255],
         [255, 255, 255,  ..., 255, 255, 255],
         ...,
         [213, 208, 205,  ..., 229, 226, 224],
         [207, 209, 205,  ..., 231, 230, 229],
         [223, 212, 210,  ..., 241, 240, 240]],

        [[255, 255, 255,  ..., 255, 255, 255],
         [255, 255, 255,  ..., 255, 255, 255],
         [255, 255, 255,  ..., 255, 255, 255],
         ...,
         [213, 208, 205,  ..., 229, 226, 224],
         [207, 209, 205,  ..., 231, 230, 229],
         [223, 212, 210,  ..., 241, 240, 240]],

        [[255, 255, 255,  ..., 255, 255, 255],
         [255, 255, 255,  ..., 255, 255, 255],
         [255, 255, 255,  ..., 255, 255, 255],
         ...,
         [213, 208, 205,  ..., 229, 226, 224],
         [207, 209, 205,  ..., 231, 230, 229],
         [223, 212, 210,  ..., 241, 240, 240]]], dtype=torch.uint8)"
img/69421.png,1,"tensor([[[  0,  11,  13,  ...,  63,  56,   0],
         [  0,  38,  45,  ..., 212, 191,   0],
         [  0,  37,  43,  ..., 212, 190,   0],
         ...,
         [  0,  60,  67,  ..., 205, 184,   0],
         [  0,  60,  68,  ..., 204, 183,   0],
         [  0,  35,  39,  ..., 117, 105,   0]],

        [[  0,  10,  12,  ...,  64,  57,   0],
         [  0,  34,  40,  ..., 215, 193,   0],
         [  0,  32,  37,  ..., 215, 193,   0],
         ...,
         [  0,  57,  64,  ..., 214, 192,   0],
         [  0,  57,  65,  ..., 213, 191,   0],
         [  0,  33,  38,  ..., 123, 110,   0]],

        [[  0,   9,  10,  ...,  66,  60,   0],
         [  0,  31,  36,  ..., 224, 201,   0],
         [  0,  30,  34,  ..., 224, 201,   0],
         ...,
         [  0,  51,  57,  ..., 231, 207,   0],
         [  0,  51,  58,  ..., 230, 207,   0],
         [  0,  29,  34,  ..., 132, 119,   0]]], dtype=torch.uint8)"
img/50162.png,1,"tensor([[[  0,   1,   1,  ...,   0,   0,   0],
         [  0,   3,   4,  ...,   1,   2,   0],
         [  0,   4,   5,  ...,   2,   3,   0],
         ...,
         [  0, 113, 122,  ...,  45,  39,   0],
         [  0, 108, 117,  ...,  46,  38,   0],
         [  0, 110, 121,  ...,  47,  41,   0]],

        [[  0,   1,   0,  ...,   0,   0,   0],
         [  0,   3,   3,  ...,   0,   1,   0],
         [  0,   2,   3,  ...,   1,   2,   0],
         ...,
         [  0,  74,  78,  ..., 101,  90,   0],
         [  0,  68,  73,  ..., 103,  90,   0],
         [  0,  70,  76,  ..., 104,  93,   0]],

        [[  0,   0,   0,  ...,   0,   0,   0],
         [  0,   0,   1,  ...,   0,   0,   0],
         [  0,   1,   5,  ...,   0,   0,   0],
         ...,
         [  0,  69,  73,  ..., 151, 131,   0],
         [  0,  65,  66,  ..., 154, 133,   0],
         [  0,  66,  70,  ..., 156, 136,   0]]], dtype=torch.uint8)"
img/43728.png,1,"tensor([[[ 69,  94,  93,  ...,  89,  90,  66],
         [ 95, 129, 129,  ..., 122, 123,  91],
         [ 95, 129, 128,  ..., 122, 122,  90],
         ...,
         [ 89, 122, 122,  ..., 112, 111,  81],
         [ 89, 124, 123,  ..., 110, 110,  81],
         [ 65,  91,  90,  ...,  80,  81,  59]],

        [[111, 153, 153,  ..., 149, 148, 109],
         [153, 211, 211,  ..., 205, 205, 150],
         [154, 211, 211,  ..., 205, 205, 150],
         ...,
         [151, 208, 208,  ..., 198, 198, 145],
         [151, 208, 208,  ..., 198, 198, 145],
         [111, 153, 152,  ..., 145, 145, 106]],

        [[114, 156, 156,  ..., 154, 154, 113],
         [156, 216, 216,  ..., 211, 211, 155],
         [156, 216, 216,  ..., 211, 212, 155],
         ...,
         [156, 215, 215,  ..., 205, 205, 150],
         [156, 215, 215,  ..., 205, 205, 150],
         [114, 158, 158,  ..., 150, 149, 110]]], dtype=torch.uint8)"
